Especie,Num Boleto,Ticker,Tipo,Concertacion,Liquidacion,Cantidad,Precio,Bruto,Costos Mercado,Arancel,Neto,Moneda
BONO REP. ARGENTINA USD STEP UP 2030,440890,AL30,COMPRA,2025-01-13,2025-01-13,2550,0.6769,1726.1,44.86,7172.55,1733.04,Dólares
BONO REP. ARGENTINA USD STEP UP 2030,383641,AL30,COMPRA,2025-01-10,2025-01-10,2745,0.676,1855.62,48.13,7698.25,1863.09,Dólares
BONO REP. ARGENTINA USD STEP UP 2030,383640,AL30,COMPRA,2025-01-10,2025-01-10,521,0.6627,345.27,8.96,1431.75,346.66,US Dollar (Cable)
BONO REP. ARGENTINA USD STEP UP 2030,280553,AL30,COMPRA,2025-01-08,2025-01-08,3376,0.7469,2521.53,65.31,10453.24,2531.68,US Dollar (Cable)
BONO REP. ARGENTINA USD STEP UP 2030,204224,AL30,VENTA,2025-01-07,2025-01-07,2206,894.8,1973928.8,49.35,7895.72,1965983.73,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,11501637,AL30,VENTA,2024-12-20,2024-12-20,3050,840.9,2564745,64.12,10258.98,2554421.9,Pesos
"T. DE GAS DEL SUR ESC. ""B"" 1 V.",11501636,TGSU2,COMPRA,2024-12-20,2024-12-20,384,6660.3125,2557560,2475.72,12378.59,2572414.31,Pesos
PAMPA ENERGIA,11425161,PAMP,COMPRA,2024-12-19,2024-12-19,600,4010.333333,2406200,2329.2,11646.01,2420175.21,Pesos
"YPF S.A. ESCRIT. ""D"" 1 VOTO",11425162,YPFD,COMPRA,2024-12-19,2024-12-19,55,51249.09091,2818700,2728.5,13642.51,2835071.01,Pesos
CEDEAR Vista Energy S.A.B. de C.V (ADS),11425163,VIST,COMPRA,2024-12-19,2024-12-19,120,21318.75,2558250,2476.39,12381.93,2573108.32,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,11425165,AL30,VENTA,2024-12-19,2024-12-19,9281,850.3931688,7892499,197.31,31570,7860731.69,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,11425164,AL30,COMPRA,2024-12-19,2024-12-19,14900,0.732115436,10908.52,278.85,44611.675,10952.42,US Dollar (Cable)
BONO REP. ARGENTINA USD STEP UP 2030,11349698,AL30,VENTA,2024-12-18,2024-12-18,693,854.7,592307.1,14.81,2369.23,589923.06,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,10973325,AL30,VENTA,2024-12-09,2024-12-09,1305,756.6,987363,24.68,3949.45,983388.87,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,10639381,AL30,VENTA,2024-11-29,2024-11-29,2580,765.5,1974990,49.37,7899.96,1967040.67,Pesos
BONO REP. ARGENTINA USD STEP UP 2030,10639380,AL30,COMPRA,2024-11-29,2024-11-29,2852,0.6925,1975.01,49.82,7971.1,1982.96,US Dollar (Cable)
BONO REP. ARGENTINA USD STEP UP 2030,10030578,AL30,COMPRA,2024-11-12,2024-11-12,3343,0.6639,2219.42,55.37,8862.24,2228.36,US Dollar (Cable)
